char_a,char_b,common_neighbors_after_book5,is_dead_character,is_historical_figure,is_narrative_exit,genuine_refusal
Cedric Diggory,Marcus Flint,19,True,False,False,False
Cedric Diggory,Prime Minister,19,True,False,False,False
Cedric Diggory,Sybill Trelawney,19,True,False,False,False
Cedric Diggory,Vernon Dursley,19,True,False,False,False
Albus Dumbledore,Crookshanks,19,False,False,False,True
Charles Weasley,Sirius Black,19,True,False,False,False
Cho Chang,Olympe Maxime,19,False,False,False,True
Alastor Moody,Pansy Parkinson,19,False,False,False,True
Bartemius Crouch Senior,Gilderoy Lockhart,19,True,False,True,False
Cho Chang,William Weasley,19,False,False,False,True
Argus Filch,Prime Minister,19,False,False,False,True
Arthur Weasley,Poppy Pomfrey,19,False,False,False,True
Crookshanks,Tom Riddle,19,False,False,False,True
Argus Filch,Hedwig,19,False,False,False,True
Crookshanks,Sybill Trelawney,19,False,False,False,True
Angelina Johnson,Remus Lupin,19,False,False,False,True
Argus Filch,Rowena Ravenclaw,19,False,True,False,False
Angelina Johnson,Viktor Krum,19,False,False,False,True
George Weasley,Peter Pettigrew,18,False,False,False,True
Argus Filch,Pansy Parkinson,18,False,False,False,True
George Weasley,Mrs Norris,18,False,False,False,True
Argus Filch,Igor Karkaroff,18,False,False,False,True
Argus Filch,Olympe Maxime,18,False,False,False,True
Cedric Diggory,Pomona Sprout,18,True,False,False,False
Luna Lovegood,Pansy Parkinson,18,False,False,False,True
Marcus Flint,Neville Longbottom,18,False,False,False,True
Cedric Diggory,Charles Weasley,18,True,False,False,False
Gilderoy Lockhart,Hedwig,18,False,False,True,False
Fred Weasley,Peter Pettigrew,18,False,False,False,True
Argus Filch,Justin Finch-Fletchley,18,False,False,False,True
Cedric Diggory,Lucius Malfoy,18,True,False,False,False
Neville Longbottom,Vernon Dursley,18,False,False,False,True
Fleur Delacour,Poppy Pomfrey,18,False,False,False,True
Filius Flitwick,Viktor Krum,18,False,False,False,True
Pigwidgeon,Rubeus Hagrid,18,False,False,False,True
Filius Flitwick,Hedwig,18,False,False,False,True
Prime Minister,Salazar Slytherin,18,False,True,False,False
Father Christmas,Viktor Krum,18,False,True,False,False
Father Christmas,Rolanda Hooch,18,False,True,False,False
Cho Chang,Justin Finch-Fletchley,18,False,False,False,True
Molly Weasley,Rowena Ravenclaw,18,False,True,False,False
Father Christmas,Igor Karkaroff,18,False,True,False,False
Cho Chang,Rolanda Hooch,18,False,False,False,True
Alastor Moody,Peter Pettigrew,18,False,False,False,True
Fat Lady,George Weasley,18,False,False,False,True
Fat Lady,Fred Weasley,18,False,False,False,True
Filius Flitwick,Parvati Patil,18,False,False,False,True
Petunia Dursley,Rubeus Hagrid,18,False,False,False,True
Gilderoy Lockhart,Nymphadora Tonks,18,False,False,True,False
Bellatrix Lestrange,Fred Weasley,18,False,False,False,True
Kreacher,Lucius Malfoy,18,False,False,False,True
Angelina Johnson,Filius Flitwick,18,False,False,False,True
Lee Jordan,Luna Lovegood,18,False,False,False,True
Alicia Spinnet,Sirius Black,18,True,False,False,False
Lee Jordan,Parvati Patil,18,False,False,False,True
Angelina Johnson,Molly Weasley,18,False,False,False,True
Olympe Maxime,Seamus Finnigan,18,False,False,False,True
Helga Hufflepuff,Ludovic Bagman,18,False,True,False,False
Hedwig,Salazar Slytherin,18,False,True,False,False
Pansy Parkinson,Seamus Finnigan,18,False,False,False,True
Hedwig,Ludovic Bagman,18,False,False,False,True
Bartemius Crouch Senior,Seamus Finnigan,18,True,False,False,False
Angelina Johnson,Percy Weasley,18,False,False,True,False
Alicia Spinnet,Dean Thomas,18,False,False,False,True
Gilderoy Lockhart,Parvati Patil,18,False,False,True,False
Alicia Spinnet,Argus Filch,18,False,False,False,True
Godric Gryffindor,Vernon Dursley,18,False,True,False,False
Godric Gryffindor,Roger Davies,18,False,True,False,False
Peeves,Tom Riddle,18,False,False,False,True
Mungo Bonham,Percy Weasley,18,False,False,True,False
Bertha Jorkins,Hermione Granger,18,True,False,False,False
Percy Weasley,Pomona Sprout,18,False,False,True,False
Buckbeak,Cornelius Fudge,18,False,False,False,True
Buckbeak,Ginevra Weasley,18,False,False,False,True
Buckbeak,Godric Gryffindor,18,False,True,False,False
Lucius Malfoy,Sybill Trelawney,18,False,False,False,True
Argus Filch,Sybill Trelawney,18,False,False,False,True
Kreacher,Percy Weasley,18,False,False,True,False
Godric Gryffindor,Terry Boot,18,False,True,False,False
Gilderoy Lockhart,Ludovic Bagman,18,False,False,True,False
Dobby,Oliver Wood,18,False,False,True,False
Cornelius Fudge,Oliver Wood,18,False,False,True,False
Dolores Umbridge,Vernon Dursley,18,False,False,False,True
Cuthbert Binns,Godric Gryffindor,18,False,True,False,False
Dobby,Prime Minister,18,False,False,False,True
Dolores Umbridge,Rita Skeeter,18,False,False,False,True
Salazar Slytherin,William Weasley,18,False,True,False,False
Cornelius Fudge,Helga Hufflepuff,18,False,True,False,False
Dobby,Rita Skeeter,18,False,False,False,True
Alastor Moody,Buckbeak,18,False,False,False,True
Ernest Macmillan,Oliver Wood,18,False,False,True,False
Colin Creevey,Peeves,18,False,False,False,True
Crookshanks,Minerva McGonagall,18,False,False,False,True
Rolanda Hooch,Tom Riddle,18,False,False,False,True
Dobby,Gregory Goyle,18,False,False,False,True
Draco Malfoy,Padma Patil,18,False,False,False,True
Colin Creevey,Molly Weasley,18,False,False,False,True
Dolores Umbridge,Fleur Delacour,18,False,False,False,True
Lavender Brown,Vincent Crabbe,17,False,False,False,True
Cedric Diggory,Peeves,17,True,False,False,False
Mungo Bonham,Vincent Crabbe,17,False,False,False,True
Fred Weasley,Sorting Hat,17,False,False,False,True
Katie Bell,Percy Weasley,17,False,False,True,False
Bartemius Crouch Senior,Colin Creevey,17,True,False,False,False
Peter Pettigrew,Poppy Pomfrey,17,False,False,False,True
Colin Creevey,Sybill Trelawney,17,False,False,False,True
Gilderoy Lockhart,Rolanda Hooch,17,False,False,True,False
Kingsley Shacklebolt,Poppy Pomfrey,17,False,False,False,True
Dobby,Peeves,17,False,False,False,True
Cornelius Fudge,Parvati Patil,17,False,False,False,True
Kreacher,Minerva McGonagall,17,False,False,False,True
Angelina Johnson,Lavender Brown,17,False,False,False,True
Draco Malfoy,Hannah Abbott,17,False,False,False,True
Draco Malfoy,Pigwidgeon,17,False,False,False,True
Alastor Moody,Crookshanks,17,False,False,False,True
Nymphadora Tonks,Vincent Crabbe,17,False,False,False,True
Colin Creevey,Viktor Krum,17,False,False,False,True
Lavender Brown,Percy Weasley,17,False,False,True,False
Draco Malfoy,Merlin,17,False,True,False,False
Draco Malfoy,Mundungus Fletcher,17,False,False,False,True
Sirius Black,Winky,17,True,False,False,False
Buckbeak,William Weasley,17,False,False,False,True
Justin Finch-Fletchley,Sirius Black,17,True,False,False,False
Alastor Moody,Charles Weasley,17,False,False,False,True
Gregory Goyle,Luna Lovegood,17,False,False,False,True
Pansy Parkinson,Remus Lupin,17,False,False,False,True
Dolores Umbridge,Fat Lady,17,False,False,False,True
Hedwig,Vincent Crabbe,17,False,False,False,True
